ini lat (deg),ini lon (deg),ini alt (m),ini vx_body (m/s),ini vy_body (m/s),ini vz_body (m/s),ini yaw (deg),ini pitch (deg),ini roll (deg)
1,-0.0033083196,0.0047544278,0.0053798711,0,0,0,0.05,1
1,-0.00329326,0.00475206,0.005377141,0,0,0,0.05,1
1,-0.0032782004,0.0047496922,0.0053744109,0,0,0,0.05,1
1,-0.0032631409,0.0047473244,0.005371681,0,0,0,0.05,1
1,-0.0032480813,0.0047449565,0.0053689512,0,0,0,0.05,1
1,-0.0032330218,0.0047425887,0.0053662215,0,0,0,0.05,1
1,-0.0032179622,0.0047402209,0.0053634919,0,0,0,0.05,1
1,-0.0032029027,0.0047378531,0.0053607624,0,0,0,0.05,1
1,-0.0031878432,0.0047354853,0.005358033,0,0,0,0.05,1
1,-0.0031727836,0.0047331174,0.0053553038,0,0,0,0.05,1
1,-0.0031577241,0.0047307496,0.0053525747,0,0,0,0.05,1
1,-0.0031426646,0.0047283818,0.0053498457,0,0,0,0.05,1
1,-0.0031276051,0.004726014,0.0053471168,0,0,0,0.05,1
1,-0.0031125456,0.0047236462,0.005344388,0,0,0,0.05,1
1,-0.0030974861,0.0047212784,0.0053416593,0,0,0,0.05,1
1,-0.0030824266,0.0047189106,0.0053389308,0,0,0,0.05,1
1,-0.0030673671,0.0047165428,0.0053362023,0,0,0,0.05,1
1,-0.0030523076,0.0047141749,0.005333474,0,0,0,0.05,1
1,-0.0030372481,0.0047118071,0.0053307458,0,0,0,0.05,1
1,-0.0030221887,0.0047094393,0.0053280177,0,0,0,0.05,1
1,-0.0030071292,0.0047070715,0.0053252898,0,0,0,0.05,1
1,-0.0029920697,0.0047047037,0.0053225619,0,0,0,0.05,1
1,-0.0029770103,0.0047023359,0.0053198341,0,0,0,0.05,1
1,-0.0029619508,0.0046999681,0.0053171065,0,0,0,0.05,1
1,-0.0029468914,0.0046976003,0.005314379,0,0,0,0.05,1
1,-0.002931832,0.0046952325,0.0053116516,0,0,0,0.05,1
1,-0.0029167725,0.0046928647,0.0053089243,0,0,0,0.05,1
1,-0.0029017131,0.004690497,0.0053061972,0,0,0,0.05,1
1,-0.0028866537,0.0046881292,0.0053034701,0,0,0,0.05,1
1,-0.0028715943,0.0046857614,0.0053007432,0,0,0,0.05,1
1,-0.0028565349,0.0046833936,0.0052980163,0,0,0,0.05,1
1,-0.0028414754,0.0046810258,0.0052952896,0,0,0,0.05,1
1,-0.0028264161,0.004678658,0.005292563,0,0,0,0.05,1
1,-0.0028113567,0.0046762902,0.0052898366,0,0,0,0.05,1
1,-0.0027962973,0.0046739224,0.0052871102,0,0,0,0.05,1
1,-0.0027812379,0.0046715546,0.0052843839,0,0,0,0.05,1
1,-0.0027661785,0.0046691869,0.0052816578,0,0,0,0.05,1
1,-0.0027511191,0.0046668191,0.0052789318,0,0,0,0.05,1
1,-0.0027360598,0.0046644513,0.0052762059,0,0,0,0.05,1
1,-0.0027210004,0.0046620835,0.0052734801,0,0,0,0.05,1
1,-0.0027059411,0.0046597157,0.0052707544,0,0,0,0.05,1
1,-0.0026908817,0.004657348,0.0052680289,0,0,0,0.05,1
1,-0.0026758224,0.0046549802,0.0052653034,0,0,0,0.05,1
1,-0.002660763,0.0046526124,0.0052625781,0,0,0,0.05,1
1,-0.0026457037,0.0046502447,0.0052598529,0,0,0,0.05,1
1,-0.0026306444,0.0046478769,0.0052571278,0,0,0,0.05,1
